id,name,siruta,country_id/id,zone_id/id,state_id/id
RO_15983,Cotmeana,15983,base.ro,RO_SM,l10n_ro.RO_AG
RO_16132,Cuca,16132,base.ro,RO_SM,l10n_ro.RO_AG
RO_13622,"Curtea De Argeş",13622,base.ro,RO_SM,l10n_ro.RO_AG
RO_16329,Dâmbovicioara,16329,base.ro,RO_SM,l10n_ro.RO_AG
RO_16365,Dârmăneşti,16365,base.ro,RO_SM,l10n_ro.RO_AG
RO_16285,Davideşti,16285,base.ro,RO_SM,l10n_ro.RO_AG
RO_16427,Dobreşti,16427,base.ro,RO_SM,l10n_ro.RO_AG
RO_16454,Domneşti,16454,base.ro,RO_SM,l10n_ro.RO_AG
RO_16506,Drăganu,16506,base.ro,RO_SM,l10n_ro.RO_AG
RO_16472,Dragoslavele,16472,base.ro,RO_SM,l10n_ro.RO_AG
RO_16551,Godeni,16551,base.ro,RO_SM,l10n_ro.RO_AG
RO_16613,Hârseşti,16613,base.ro,RO_SM,l10n_ro.RO_AG
RO_16659,Hârtieşti,16659,base.ro,RO_SM,l10n_ro.RO_AG
RO_16739,Izvoru,16739,base.ro,RO_SM,l10n_ro.RO_AG
RO_16757,Leordeni,16757,base.ro,RO_SM,l10n_ro.RO_AG
RO_16908,Lereşti,16908,base.ro,RO_SM,l10n_ro.RO_AG
RO_16944,"Lunca Corbului",16944,base.ro,RO_SM,l10n_ro.RO_AG
RO_17049,Mălureni,17049,base.ro,RO_SM,l10n_ro.RO_AG
RO_13365,Mărăcineni,13365,base.ro,RO_SM,l10n_ro.RO_AG
RO_17101,Merişani,17101,base.ro,RO_SM,l10n_ro.RO_AG
RO_17209,Miceşti,17209,base.ro,RO_SM,l10n_ro.RO_AG
RO_17254,Mihăeşti,17254,base.ro,RO_SM,l10n_ro.RO_AG
RO_17334,Mioarele,17334,base.ro,RO_SM,l10n_ro.RO_AG
RO_13301,Mioveni,13301,base.ro,RO_SM,l10n_ro.RO_AG
RO_17398,Miroşi,17398,base.ro,RO_SM,l10n_ro.RO_AG
RO_17423,Morăreşti,17423,base.ro,RO_SM,l10n_ro.RO_AG
RO_17496,Moşoaia,17496,base.ro,RO_SM,l10n_ro.RO_AG
RO_17575,Mozăceni,17575,base.ro,RO_SM,l10n_ro.RO_AG
RO_17619,Muşăteşti,17619,base.ro,RO_SM,l10n_ro.RO_AG
RO_17726,Negraşi,17726,base.ro,RO_SM,l10n_ro.RO_AG
RO_17771,Nucşoara,17771,base.ro,RO_SM,l10n_ro.RO_AG
RO_17824,Oarja,17824,base.ro,RO_SM,l10n_ro.RO_AG
RO_17851,Pietroşani,17851,base.ro,RO_SM,l10n_ro.RO_AG
RO_13169,Piteşti,13169,base.ro,RO_SM,l10n_ro.RO_AG
RO_18028,"Poiana Lacului",18028,base.ro,RO_SM,l10n_ro.RO_AG
RO_17913,"Poienarii De Argeş",17913,base.ro,RO_SM,l10n_ro.RO_AG
RO_17968,"Poienarii De Muscel",17968,base.ro,RO_SM,l10n_ro.RO_AG
RO_18162,Popeşti,18162,base.ro,RO_SM,l10n_ro.RO_AG
RO_18242,Priboieni,18242,base.ro,RO_SM,l10n_ro.RO_AG
RO_20048,Râca,20048,base.ro,RO_SM,l10n_ro.RO_AG
RO_18331,Răteşti,18331,base.ro,RO_SM,l10n_ro.RO_AG
RO_18411,Recea,18411,base.ro,RO_SM,l10n_ro.RO_AG
RO_18475,Rociu,18475,base.ro,RO_SM,l10n_ro.RO_AG
RO_18527,Rucăr,18527,base.ro,RO_SM,l10n_ro.RO_AG
RO_18554,Sălătrucu,18554,base.ro,RO_SM,l10n_ro.RO_AG
